Sector,Industry,Company,Ticker
Index,Exchange Traded Fund,SPDR S&P 500 ETF Trust,SPY
Index,Exchange Traded Fund,Invesco QQQ Trust Series 1,QQQ
Index,Exchange Traded Fund,SPDR Dow Jones Industrial Average ETF,DIA
Index,Exchange Traded Fund,iShares Russell 2000 ETF,IWM

